Product List as of 17/06/2026,,,,,,,,,,
Product Code,Supplier Name,Product Description,Created On,Default Sell Price,Bin Location,Allocated,On Hand,Available,Base Unit,On Purchase
9KPCD12019CM,D.N. Jewels,9k YG 3.7x12mm Paperclip Bracelet wih 3x Diamond Paperclip Links 32 x 8.75mm. 286D = Approx. 1.1ct,12/01/2026,"2,243.89",PCD120,0.0000,2.0000,2,Each,0
9KBFOH5R-63X53MM,A & K Jeweller,9K RG Oval Hinged Bangle 5mm Wide. 63x53mm.,08/01/2026,"3,764.20",,0.0000,0.0000,0,Each,0
9KDR677SIZEJ,D.N. Jewels,9k YG Split Diamond Dress Ring 10mm with Marquise Feature 66D=0.39ct. Size J,07/01/2026,"1,172.22",DR677,0.0000,0.0000,0,Each,0
9KDR704YSIZER,Inah Co Ltd - 9k CZ Huggies,9k YG Ginko Leaf Ring. 8mm. Size R,16/12/2025,226.17,DR704,0.0000,1.0000,1,Each,0
9KC239R,Lotus,9k RG Polished Hollow Heart 18mm,14/12/2025,260.07,C239,0.0000,1.0000,1,Each,0
9KGDY07055CM,Forval,9k YG Italian Solid Curb Chain 2.1mm wide 55cm. Approx 7.46g,11/12/2025,117.67,GDY070,0.0000,0.0000,0,Weight,0
9KDP663-2,Divya,9k YG Diamond Cross Pendant 21D=0.7ct Claw Set. Meas. 29mm x 19.5mm,11/12/2025,821.11,DP663-2,0.0000,4.0000,4,Each,0
9KDP663-1,Divya,"9k YG Diamond Cross Pendant 16D=0.50ct Claw Set, Meas. 21x15mm.",11/12/2025,667.33,DP663-1,0.0000,1.0000,1,Each,5
9KAR114-1SIZEJ1/2,Divya,"9k YG Cathedral Ring.  No stones on band (solid band).  Centre setting to be unset, to suit a 6.8mm round stone. Size J1/2.",09/12/2025,970.67,AR114-1,0.0000,0.0000,0,Each,0
18KDBT050WAJ,D.N. Jewels,18k WG Natural Diamond Bezel Set Adjustable Bracelet. 14D = 0.60ct,05/12/2025,"2,187.02",DBT050,0.0000,1.0000,1,Each,0
9KER895,Lotus,"9k RG Half Round Huggie Earrings 10mm Diameter, 7mm Wide",05/12/2025,272.22,ER595,0.0000,8.0000,8,Each,0
9KER695,Lotus,"9k WG Half Round Huggie Earrings 10mm Diameter, 7mm Wide",05/12/2025,277.78,ER595,0.0000,4.0000,4,Each,0
9KGDY03040CM,Lotus,9k YG Solid Curb Chain 1mm wide 40cm. Approx 1.35g.,05/12/2025,118.78,GDY030,0.0000,113.1000,113.1,Weight,0
9KGDY03017CM,Lotus,9k YG Solid Curb Chain 1mm wide 17cm. Approx 0.7g.,05/12/2025,118.78,GDY030,0.0000,127.0000,127,Weight,0
9KDBA207W60X52,D.N. Jewels,"9k WG Hinged Oval Bangle with Diamond Clusters, 35D = 0.27ct, SI1 G. 5.8mm - 60x52mm",05/12/2025,"3,439.80",DBA207,0.0000,0.0000,0,Each,0
9KTFY02919CM,Lotus,9k YG Diamond Cut Trace Chain 1.1mm wide 19cm. Approx. 0.85g,05/12/2025,118.78,TFY029,0.0000,16.2400,16.24,Weight,0
9KOQ40555CM,Lotus,9k YG Double Herringbone Chain 4.5mm wide 55cm. Approx 13.3g,05/12/2025,121.00,OQ405,0.0000,39.8000,39.8,Weight,0
Bullnose,,Supply & Install Custom Bullnose 4 steps x1400mm,01/12/2025,0.00,,0.0000,0.0000,0,,0
9KTFW05560CM,Lotus,"9k WG Solid Oval Link Chain, Diamond Cut, 2.0mm wide 60cm. Approx 6.13g",25/11/2025,118.78,TFY055,0.0000,18.3500,18.35,Weight,0
9KTFW05555CM,Lotus,"9k WG Solid Oval Link Chain, Diamond Cut, 2.0mm wide 55cm. Approx 5.7g",25/11/2025,118.78,TFY055,0.0000,62.3000,62.3,Weight,0
9KTFW05550CM,Lotus,"9k WG Solid Oval Link Chain, Diamond Cut, 2.0mm wide 50cm. Approx 5.2g",25/11/2025,118.78,TFY055,0.0000,72.4100,72.41,Weight,0
9KTFW05545CM,Lotus,"9k WG Solid Oval Link Chain, Diamond Cut, 2.0mm wide 45cm. Approx 4.7g",25/11/2025,118.78,TFY055,0.0000,18.7400,18.74,Weight,0
9KTFW05542CM,Lotus,"9k WG Solid Oval Link Chain, Diamond Cut, 2.0mm wide 42cm. Approx 4.42g",25/11/2025,118.78,TFY055,0.0000,35.3000,35.3,Weight,0
9KTFW05519CM,Lotus,"9k WG Solid Oval Link Chain, Diamond Cut, 2.0mm wide 19cm. Approx 2.15g",25/11/2025,118.78,TFY055,0.0000,10.7000,10.7,Weight,0
9KTFL1X-AJ19,Lotus,9k YG Diamond Cut Trace Chain 1.1mm Wide with Letter X (6.5x5mm) 19cm with Adjustable Finding,25/11/2025,187.78,TFL1,0.0000,2.0000,2,Each,0
9KPCYH18070CM,Lotus,9k YG Hollow Paperclip Chain 6.95 x 18.5mm Wide 70cm. Approx. 19.95g,25/11/2025,144.33,PCYH180,0.0000,59.8000,59.8,Weight,0
9KPCYH18060CM,Lotus,9k YG Hollow Paperclip Chain 6.95 x 18.5mm Wide 60cm. Approx. 16.5g,25/11/2025,144.33,PCYH180,0.0000,66.0000,66,Weight,0
9KPCYH18055CM,Lotus,9k YG Hollow Paperclip Chain 6.95 x 18.5mm Wide 55cm. Approx. 16.0g,25/11/2025,144.33,PCYH180,0.0000,47.9800,47.98,Weight,0
9KPCYH18050CM,Lotus,9k YG Hollow Paperclip Chain 6.95 x 18.5mm Wide 50cm. Approx. 14.5g,25/11/2025,144.33,PCYH180,0.0000,87.1500,87.15,Weight,0
9KPCYH18019CM,Lotus,9k YG Hollow Paperclip Chain 6.95 x 18.5mm Wide 19cm. Approx. 6.2g,25/11/2025,144.33,PCYH180,0.0000,49.5200,49.52,Weight,0
9KDR709WSIZER,Inah Co Ltd - 9k CZ Huggies,9k WG 8mm Fresh Water Pearl Ring. Size R,14/11/2025,336.71,DR709,0.0000,2.0000,2,Each,0
DGIA1535309592,SRK Exports,1.06ct Oval Brilliant Diamond F SI1. GIA Certificate: 1535309592,14/11/2025,0.00,,0.0000,0.0000,0,Each,0
9KLDBT340Y17CM,D.N. Jewels,9k YG Lab Diamond Tennis Bracelet 2.3mm wide 17cm. Approx. 72D = 3.25ct.,13/11/2025,"1,812.11",LDBT340,0.0000,2.0000,2,Each,0
9KLDBT340W17CM,D.N. Jewels,9k WG Lab Diamond Tennis Bracelet 2.3mm wide 17cm. 71D = Approx. 3.20ct.,13/11/2025,"1,824.62",LDBT340,0.0000,2.0000,2,Each,0
9KLDBT340W15CM,D.N. Jewels,9k WG Lab Diamond Tennis Bracelet 2.3mm wide 15cm. 63D = Approx. 2.78ct.,13/11/2025,"1,799.62",LDBT340,0.0000,0.0000,0,Each,0
18KZR412SIZEI1/2,D.N. Jewels,"18k WG Oval Lab Diamond Wedding Band 11D = 1.24ct with script engraving ""I know"". Size I 1/2",13/11/2025,885.73,ZR412,0.0000,0.0000,0,Each,0
9KZR411SIZEU,D.N. Jewels,"9k WG Polished 6mm Wedding Band with brushed finished centre with script engaving ""I love you"". Size U",13/11/2025,"1,543.43",ZR411,0.0000,0.0000,0,Each,0
9KCH375TANZ19.5CM,Divya,"9k YG Oval Link Tanzanite Bracelet 1.4mm Wide 19.5cm . Bezel Set with 1Tanz=0.05ct, O-Rings at 16.5 & 18cm",11/11/2025,237.45,CH375TANZ,0.0000,4.0000,4,Each,0
9KBFOH5R-59X50MM,A & K Jeweller,9K RG Oval Hinged Bangle 5mm Wide. 59x50mm.,06/11/2025,"3,360.07",,0.0000,0.0000,0,Each,0
