*Product Code,*Product Description,Notes,Barcode,Unit of Measure,Min Stock Alert Level,Max Stock Alert Level,Label Template,SO Label Template,PO Label Template,SO Label Quantity,PO Label Quantity,Supplier Code,Supplier Name,Supplier Product Code,Default Purchase Price,Minimum Order Quantity,Minimum Sale Quantity,Default Sell Price,Minimum Sell Price,Sell Price Tier 1,Sell Price Tier 2,Sell Price Tier 3,Sell Price Tier 4,Sell Price Tier 5,Sell Price Tier 6,Sell Price Tier 7,Sell Price Tier 8,Sell Price Tier 9,Sell Price Tier 10,Pack Size,Weight,Width,Height,Depth,Reminder,Last Cost,Nominal Cost,Comments,Copy Comments for Sales,Copy Comments for Purchases,Never Diminishing,Product Group,Product Sub Group,Product Brand,Sales Account,COGS Account,Purchase Account,Purchase Tax Type,Purchase Tax Rate,Sales Tax Type,Sale Tax Rate,IsAssembledProduct,IsComponent,IsObsoleted,Is Sellable,Is Purchasable,Default Purchasing Unit of Measure,Is Batch Tracked
MP491AM,925 Fancy Juvite Pnd set with Amethyst = 0.20ct. RRP$155.00,,MP491AM,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P491,,,,86.4800,72.6400,242.1400,,86.4800,82.1500,77.8300,,,,,86.4800,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP491TO,925 Fancy Juvite Pnd set with Topaz = 0.20ct. RRP$155.00,,MP491TO,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P491,,,,86.4800,72.6400,242.1400,,86.4800,82.1500,77.8300,,,,,86.4800,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP514MX,925 Fancy Juvite Pnd set with Topaz = 0.45ct Peridot = 0.24ct & Amethyst = 0.22ct. RRP$281.00,,MP514MX,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P514,,,,179.6900,150.9400,503.1200,,179.6900,170.7000,161.7200,,,,,179.6900,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP540SA,925 Fancy Juvite Pnd set with Sapphire = 0.46ct. RRP$245.00,,MP540SA,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P540,,,,134.4000,112.9000,376.3200,,134.4000,127.6800,120.9600,,,,,134.4000,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP540TOLO,925 Fancy Juvite Pnd set with London Topaz=0.50ct. RRP$259.00,,MP540TOLO,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P540,,,,166.4600,139.8200,466.0800,,166.4600,158.1300,149.8100,,,,,166.4600,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP542TOGA,925 Fancy Juvite Pnd set with Topaz = 0.15ct & Garnet = 0.13ct. RRP$275.00,,MP542TOGA,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P542,,,,175.6200,147.5200,491.7400,,175.6200,166.8400,158.0600,,,,,175.6200,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP573LQ,925 Fancy Juvite Pnd set with Lemon Quartz=4.30ct Citrine=0.03ct & CZ's. RRP$290.00,,MP573LQ,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P573,,,,206.4800,173.4500,578.1500,,206.4800,196.1600,185.8300,,,,,206.4800,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP576AM,925 Fancy Juvite Pnd set with Amethyst = 2.60ct. RRP$360.00,,MP576AM,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP576,,,,242.7600,203.9200,679.7300,,242.7600,230.6200,218.4800,,,,,242.7600,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP576GA,925 Fancy Juvite Pnd set with Garnet = 3.10ct. RRP$460.25,,MP576GA,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP576,,,,294.5500,247.4200,824.7300,,294.5500,279.8200,265.0900,,,,,294.5500,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP595GA,925 Fancy Juvite Pnd set with Garnet = 1.50ct. RRP$328.65,,MP595GA,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP595,,,,209.8200,176.2500,587.5000,,209.8200,199.3300,188.8400,,,,,209.8200,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP595PE,925 Fancy Juvite Pnd set with Peridot = 1.35ct. RRP$318.15,,MP595PE,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP595,,,,203.1200,170.6200,568.7400,,203.1200,192.9700,182.8100,,,,,203.1200,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
